0,PROGRAM,"var, beginnen",Нет,Да,Нет,Нет,1
1,VAR BLOCK,var,Нет,Нет,Да,Нет,3
2,LOGIC BLOCK,beginnen,Нет,Да,Нет,Нет,113
3,VAR BLOCK,var,Нет,Да,Нет,Нет,4
4,var,var,Да,Да,Нет,Нет,5
5,VAR BLOCK IDENTIFIERS,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,E",Нет,Да,Нет,Нет,6
6,VAR BLOCK IDENTIFIERS,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Нет,Нет,Нет,8
7,VAR BLOCK IDENTIFIERS,E,Нет,Да,Нет,Нет,13
8,IDENTIFIER NAMES,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Да,Да,Нет,14
9,:,:,Да,Да,Нет,Нет,10
10,IDENTIFIER TYPE,"ganzzahl, kurz, zeichenfolge",Нет,Да,Да,Нет,107
11,!,!,Да,Да,Нет,Нет,12
12,VAR BLOCK IDENTIFIERS,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,E",Нет,Да,Нет,Нет,6
13,E,E,Да,Да,Нет,Нет,-1
14,IDENTIFIER NAMES,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Да,Нет,Нет,15
15,IDENTIFIER,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Да,Да,Нет,17
16,SPARE 1,",E",Нет,Да,Нет,Нет,101
17,IDENTIFIER,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Да,Нет,Нет,18
18,LETTER,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Да,Да,Нет,20
19,SPARE 3,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,E",Нет,Да,Нет,Нет,72
20,LETTER,a,Нет,Нет,Нет,Нет,46
21,LETTER,b,Нет,Нет,Нет,Нет,47
22,LETTER,c,Нет,Нет,Нет,Нет,48
23,LETTER,d,Нет,Нет,Нет,Нет,49
24,LETTER,e,Нет,Нет,Нет,Нет,50
25,LETTER,f,Нет,Нет,Нет,Нет,51
26,LETTER,g,Нет,Нет,Нет,Нет,52
27,LETTER,h,Нет,Нет,Нет,Нет,53
28,LETTER,i,Нет,Нет,Нет,Нет,54
29,LETTER,j,Нет,Нет,Нет,Нет,55
30,LETTER,k,Нет,Нет,Нет,Нет,56
31,LETTER,l,Нет,Нет,Нет,Нет,57
32,LETTER,m,Нет,Нет,Нет,Нет,58
33,LETTER,n,Нет,Нет,Нет,Нет,59
34,LETTER,o,Нет,Нет,Нет,Нет,60
35,LETTER,p,Нет,Нет,Нет,Нет,61
36,LETTER,q,Нет,Нет,Нет,Нет,62
37,LETTER,r,Нет,Нет,Нет,Нет,63
38,LETTER,s,Нет,Нет,Нет,Нет,64
39,LETTER,t,Нет,Нет,Нет,Нет,65
40,LETTER,u,Нет,Нет,Нет,Нет,66
41,LETTER,v,Нет,Нет,Нет,Нет,67
42,LETTER,w,Нет,Нет,Нет,Нет,68
43,LETTER,x,Нет,Нет,Нет,Нет,69
44,LETTER,y,Нет,Нет,Нет,Нет,70
45,LETTER,z,Нет,Да,Нет,Нет,71
46,a,a,Да,Да,Нет,Нет,-1
47,b,b,Да,Да,Нет,Нет,-1
48,c,c,Да,Да,Нет,Нет,-1
49,d,d,Да,Да,Нет,Нет,-1
50,e,e,Да,Да,Нет,Нет,-1
51,f,f,Да,Да,Нет,Нет,-1
52,g,g,Да,Да,Нет,Нет,-1
53,h,h,Да,Да,Нет,Нет,-1
54,i,i,Да,Да,Нет,Нет,-1
55,j,j,Да,Да,Нет,Нет,-1
56,k,k,Да,Да,Нет,Нет,-1
57,l,l,Да,Да,Нет,Нет,-1
58,m,m,Да,Да,Нет,Нет,-1
59,n,n,Да,Да,Нет,Нет,-1
60,o,o,Да,Да,Нет,Нет,-1
61,p,p,Да,Да,Нет,Нет,-1
62,q,q,Да,Да,Нет,Нет,-1
63,r,r,Да,Да,Нет,Нет,-1
64,s,s,Да,Да,Нет,Нет,-1
65,t,t,Да,Да,Нет,Нет,-1
66,u,u,Да,Да,Нет,Нет,-1
67,v,v,Да,Да,Нет,Нет,-1
68,w,w,Да,Да,Нет,Нет,-1
69,x,x,Да,Да,Нет,Нет,-1
70,y,y,Да,Да,Нет,Нет,-1
71,z,z,Да,Да,Нет,Нет,-1
72,SPARE 3,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9",Нет,Нет,Нет,Нет,74
73,SPARE 3,E,Нет,Да,Нет,Нет,76
74,LETTER OR DIGIT,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9",Нет,Да,Да,Нет,77
75,SPARE 3,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6,7,8,9,E",Нет,Нет,Нет,Нет,72
76,E,E,Да,Да,Нет,Нет,-1
77,LETTER OR DIGIT,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Нет,Нет,Нет,79
78,LETTER OR DIGIT,"0,1,2,3,4,5,6,7,8,9",Нет,Да,Нет,Нет,80
79,LETTER,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Да,Нет,Нет,20
80,DIGIT,"0,1,2,3,4,5,6,7,8,9",Нет,Да,Нет,Нет,81
81,DIGIT,0,Нет,Нет,Нет,Нет,91
82,DIGIT,1,Нет,Нет,Нет,Нет,92
83,DIGIT,2,Нет,Нет,Нет,Нет,93
84,DIGIT,3,Нет,Нет,Нет,Нет,94
85,DIGIT,4,Нет,Нет,Нет,Нет,95
86,DIGIT,5,Нет,Нет,Нет,Нет,96
87,DIGIT,6,Нет,Нет,Нет,Нет,97
88,DIGIT,7,Нет,Нет,Нет,Нет,98
89,DIGIT,8,Нет,Нет,Нет,Нет,99
90,DIGIT,9,Нет,Да,Нет,Нет,100
91,0,0,Да,Да,Нет,Нет,-1
92,1,1,Да,Да,Нет,Нет,-1
93,2,2,Да,Да,Нет,Нет,-1
94,3,3,Да,Да,Нет,Нет,-1
95,4,4,Да,Да,Нет,Нет,-1
96,5,5,Да,Да,Нет,Нет,-1
97,6,6,Да,Да,Нет,Нет,-1
98,7,7,Да,Да,Нет,Нет,-1
99,8,8,Да,Да,Нет,Нет,-1
100,9,9,Да,Да,Нет,Нет,-1
101,SPARE 1,",",Нет,Нет,Нет,Нет,103
102,SPARE 1,E,Нет,Да,Нет,Нет,106
103,",",",",Да,Да,Нет,Нет,104
104,IDENTIFIER,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z",Нет,Да,Да,Нет,17
105,SPARE 1,",E",Нет,Да,Нет,Нет,101
106,E,E,Да,Да,Нет,Нет,-1
107,IDENTIFIER TYPE,ganzzahl,Нет,Нет,Нет,Нет,110
108,IDENTIFIER TYPE,kurz,Нет,Нет,Нет,Нет,111
109,IDENTIFIER TYPE,zeichenfolge,Нет,Да,Нет,Нет,112
110,ganzzahl,ganzzahl,Да,Да,Нет,Нет,-1
111,kurz,kurz,Да,Да,Нет,Нет,-1
112,zeichenfolge,zeichenfolge,Да,Да,Нет,Нет,-1
113,LOGIC BLOCK,beginnen,Нет,Да,Нет,Нет,114
114,beginnen,beginnen,Да,Да,Нет,Нет,115
115,LOGIC INNER,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, aufschreiben, erhalten, wenn, E",Нет,Да,Да,Нет,117
116,ende,ende,Да,Да,Нет,Да,-1
117,LOGIC INNER,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, aufschreiben, erhalten, wenn",Нет,Нет,Нет,Нет,119
